mgi_symbol,hgnc_symbol
Prkdc,PRKDC
Cep112,CEP112
Ttc34,TTC34
Eif4ebp1,EIF4EBP1
Hapln4,HAPLN4
Mid2,MID2
Vill,VILL
Ndufs3,NDUFS3
Fam49b,FAM49B
Cryaa,CRYAA2
Exog,EXOG
Gsdmc2,GSDMC
Tm6sf2,TM6SF2
Tbcc,TBCC
Epb41l4b,EPB41L4B
Sh3yl1,SH3YL1
Sfxn5,SFXN5
Pnkd,PNKD
Pikfyve,PIKFYVE
Mrgprb3,MRGPRX2
Efemp2,EFEMP2
Cyp4f37,CYP4F12
Samd9l,SAMD9L
Thap1,THAP1
Dpp4,DPP4
Rab10,RAB10
Kin,KIN
Sit1,SIT1
Tollip,TOLLIP
Cdkl3,CDKL3
Slc7a5,SLC7A5
Aph1c,APH1B
Btbd2,BTBD2
Tmeff1,TMEFF1
Krt9,KRT9
Colq,COLQ
Dusp22,DUSP22
Zmynd11,ZMYND11
Gal,GAL
Pus7,PUS7
Pcyox1,PCYOX1
Gcsh,GCSH
Spg21,SPG21
Tcerg1l,TCERG1L
Stx18,STX18
Gm5225,PRDX2
Smim5,SMIM5
Krt14,KRT14
Srf,SRF
Arhgef39,ARHGEF39
Dcun1d3,DCUN1D3
Gm21981,PRICKLE4
Ptpn3,PTPN3
Tmem216,TMEM216
Slc25a37,SLC25A37
Crtap,CRTAP
Fabp5,FABP5
Net1,NET1
Alas2,ALAS2
Ttc32,TTC32
Fbxw28,FBXW12
Mus81,MUS81
Fbxw22,FBXW12
Cacna1c,CACNA1C
Glp1r,GLP1R
Tmem186,TMEM186
Abat,ABAT
Thnsl2,THNSL2
Blvra,BLVRA
Hist1h4a,HIST1H4I
Fbxw16,FBXW12
Cfl1,CFL1
Gcat,GCAT
Tomm6,TOMM6
Npbwr1,NPBWR1
Slc38a6,SLC38A6
Sost,SOST
Eef1b2,EEF1B2
Olfr1293-ps,OR4F17
Ipmk,IPMK
Trpm7,TRPM7
Catip,CATIP
Acrbp,ACRBP
Olfr1289,OR4F17
Cep250,CEP250
Mre11a,MRE11
Sbno2,SBNO2
Rint1,RINT1
Cers1,GDF1
Cers1,CERS1
Sec11c,SEC11C
Il18bp,IL18BP
Hacd1,HACD1
Sap30bp,SAP30BP
Glis3,GLIS3
Chrna6,CHRNA6
Taldo1,TALDO1
Aak1,AAK1
Myh1,MYH1
Bax,BAX
Lyzl1,LYZL1
Sap130,SAP130
Gpr50,GPR50
Ero1l,ERO1A
Akain1,AKAIN1
Tmem97,TMEM97
Slc35a2,SLC35A2
Mms22l,MMS22L
Bag4,BAG4
Cyp4f13,CYP4F12
Cd274,CD274
Gdnf,GDNF
Jmjd1c,JMJD1C
Tmem55a,PIP4P2
Plekhg2,PLEKHG2
Mrpl4,MRPL4
Def6,DEF6
Trappc3l,TRAPPC3L
Tmem214,TMEM214
Acat2,ACAT2
Slc9a6,SLC9A6
Efcab10,EFCAB10
Cenpn,CENPN
Neurl4,NEURL4
Qk,QKI
Vcan,VCAN
Cerkl,CERKL
1700029I15Rik,C11orf94
4930402K13Rik,FAM47C
Spink1,SPINK1
Cyp4f17,CYP4F12
Cldn10,CLDN10
Apex2,APEX2
Mrgprx2,MRGPRX2
Mapt,MAPT
1600002K03Rik,C19orf24
Rgs6,RGS6
Zcchc4,ZCCHC4
9430015G10Rik,C1orf159
Tex52,TEX52
Rgmb,RGMB
Msantd2,MSANTD2
Slc12a3,SLC12A3
Zmat5,ZMAT5
Oprk1,OPRK1
H1f0,H1F0
Cul3,CUL3
Anxa4,ANXA4
Lamtor1,LAMTOR1
Thoc1,THOC1
Junb,JUNB
Hoxa11,HOXA11
Rnf112,RNF112
Cdh11,CDH11
Ccdc107,CCDC107
Tmsb15b1,TMSB15B
Gsc2,GSC2
Ypel3,YPEL3
Aqp7,AQP7
BC017643,CYBC1
Lrch1,LRCH1
Aph1b,APH1B
Ift20,IFT20
Rpl3l,RPL3L
Abcf1,ABCF1
Steap1,STEAP1B
Cabp7,CABP7
Scaf1,SCAF1
Cyp4f16,CYP4F12
Nek6,NEK6
Tmsb15b2,TMSB15B
Wtap,WTAP
Uqcr10,UQCR10
Col6a1,COL6A1
Fam102a,FAM102A
Plgrkt,PLGRKT
Cnpy3,CNPY3
Abt1,ABT1
Ndufs1,NDUFS1
Dpm2,DPM2
Ppip5k2,PPIP5K2
Rnf144a,RNF144A
Rnh1,RNH1
Hoxa13,HOXA13
Skp1a,SKP1
Gnmt,GNMT
Car5a,CA5A
Trpm5,TRPM5
St8sia6,ST8SIA6
Sod2,SOD2
Rras,RRAS
Fabp12,FABP12
Wdr35,WDR35
Rnaseh2a,RNASEH2A
Mmgt2,MMGT1
Gm28048,COMMD1
Fgf23,FGF23
Saysd1,SAYSD1
Rpl13,RPL13
Lmtk3,LMTK3
Ptcra,PTCRA
Atmin,ATMIN
Derl2,DERL2
Fbxw20,FBXW12
Olfr1291-ps1,OR4F17
Mbd3l2,MBD3L2B
Itga4,ITGA4
4930480E11Rik,FAM47C
Snx32,SNX32
Fndc9,FNDC9
Tesmin,TESMIN
Reps2,REPS2
Mrm3,MRM3
Slc17a3,SLC17A3
Akap2,PALM2-AKAP2
Akap2,AKAP2
Gdap1,GDAP1
Ube2ql1,UBE2QL1
Fndc11,FNDC11
Uri1,URI1
Snta1,SNTA1
Mrgprb4,MRGPRX2
Pex6,PEX6
Syde1,SYDE1
Pgm1,PGM2
Elf5,ELF5
Kif3c,KIF3C
Tulp3,TULP3
Prdx2,PRDX2
Rab11fip5,RAB11FIP5
Nrip2,NRIP2
Gm45692,RNF170
Egfl7,EGFL7
Dmac1,DMAC1
Krt17,KRT17
Ptprd,PTPRD
Fbxw27,FBXW12
Icam1,ICAM1
Ptdss2,PTDSS2
Rad50,RAD50
Lman2l,LMAN2L
Hook3,HOOK3
Gpx4,GPX4
Il13,IL13
Proser3,PROSER3
Smim6,SMIM6
Car9,CA9
Armcx2,ARMCX2
Sppl2c,SPPL2C
Reep3,REEP3
Recql5,RECQL5
Mrps24,MRPS24
Med10,MED10
Eaf1,EAF1
Il5,IL5
Cstf1,CSTF1
Fbxw18,FBXW12
Matn3,MATN3
Icam4,ICAM4
L3mbtl3,L3MBTL3
Fam26e,CALHM5
Mrgprb2,MRGPRX2
Mum1,MUM1
Stmnd1,STMND1
Gtpbp6,GTPBP6
Cyp1a2,CYP1A2
Nipal4,NIPAL4
Tmbim1,TMBIM1
Fbxw15,FBXW12
Trmt5,TRMT5
Msrb1,MSRB1
Clec7a,CLEC7A
Cmc2,CMC2
Dzip1,DZIP1
Palm2,PALM2
Slc25a1,SLC25A1
Mast1,MAST1
Gfra3,GFRA3
Cyfip2,CYFIP2
Crot,CROT
Crocc,CROCC
Cbfa2t2,CBFA2T2
Zfp369,ZNF274
Gdf1,GDF1
Gdf1,CERS1
Fam98b,FAM98B
Acat3,ACAT2
Mrgprb8,MRGPRX2
Atrnl1,ATRNL1
Usp49,USP49
Trappc9,TRAPPC9
Fubp3,FUBP3
Cisd1,CISD1
Muc5b,MUC5B
Numa1,NUMA1
Fpgs,FPGS
Myh8,MYH8
Psmb7,PSMB7
Tas2r119,TAS2R1
Lpar5,LPAR5
Tigar,TIGAR
Gpr63,GPR63
Casp12,CASP12
Dusp2,DUSP2
Lsm1,LSM1
Map1a,MAP1A
Prr27,PRR27
Myh2,MYH2
Eif1ad,EIF1AD
Drosha,DROSHA
Ndufaf4,NDUFAF4
Usp14,USP14
Fbxw24,FBXW12
Glod4,GLOD4
Hexdc,HEXDC
Star,STAR
Gdpd3,GDPD3
Myo3b,MYO3B
Usp31,USP31
Mtg2,MTG2
1700030J22Rik,C16orf46
Commd1,COMMD1
C1rl,C1RL
Gm37389,FABP9
Tex10,TEX10
Rsad2,RSAD2
Mdh2,MDH2
Hs3st2,HS3ST2
Ccl3,CCL3L3
Ccl3,CCL3L1
Adra2b,ADRA2B
Gml,GML
Msantd3,MSANTD3
Luc7l,LUC7L
Prickle4,PRICKLE4
Fam47c,FAM47C
Mllt10,MLLT10
Tmsb15l,TMSB15B
Zfp11,ZNF729
Fbxo25,FBXO25
Tex13b,TEX13B
Dcx,DCX
Rab9b,RAB9B
Gemin8,GEMIN8
